championId,winRate,banRate,gamesPlayed,playRate,kills,deaths,assists,score,gold,damageTaken,totalHeal,totalDamage,rivals
18,0.5163302235805051,0.024551589088544195,19894400,11.424590974961328,7.442363680231623,5.022711918931961,6.4332435258163105,17.250929601733326,12970.113434936464,18255.23277304166,4580.951427537398,21020.580074794918,"{142, 45, 54}"
81,0.4867936397573109,0.008181151260709294,19330080,11.100523640485799,6.230095271204258,4.881055846639021,8.316729159941397,13.523501986722705,12850.918572504615,17143.27604231332,2472.551236208024,24822.06637530729,"{1, 99, 40, 142, 54}"
40,0.5382698307304694,0.012910061316283007,14292590,8.207686319910248,1.5948991750270596,4.441965382061615,13.51402999736227,12.616909324578346,8541.181171152324,12974.2566147913,6583.577763022658,8026.324058830485,set()
51,0.5012850852520707,0.005117107735862872,16496960,9.473571473897092,6.059821930828468,5.452704013345489,7.054104513801331,10.998406238578045,12677.178224351637,16912.294381510303,4073.9325354489556,21977.62459507691,"{1, 45, 142, 48, 497}"
498,0.5143677180740387,0.0164379130163467,16417360,9.42786024653628,6.823343095357597,5.183254798579065,7.0299536588099425,14.97079608428398,12871.88831334636,17508.574893892797,4342.902220576267,21944.68064049275,"{1, 142, 54}"
110,0.5098934312218283,0.011739151449256984,15299040,8.785651957815896,6.6085506018678295,5.298905029335174,7.400495717378345,12.322901657726176,12638.743649274726,17199.22099164392,4303.371714826551,19452.461785837542,"{1, 142}"
67,0.5084272474855243,0.023552094913184315,15184080,8.71963483850182,7.480872071274651,5.776623937703174,6.012565792593295,14.138720774595182,12709.881676071254,19005.99433617315,4771.826481420014,20572.535776945326,"{48, 142, 54}"
412,0.48447471213249677,0.007302346748772646,12131015,6.966376693246373,2.032786621729509,5.422207457496343,13.325246073803388,9.126019040573393,8170.1575086668345,18908.65941349508,2227.2868226607584,7736.427597773146,"{202, 236, 429, 44}"
117,0.5120202891914264,0.03159197897071146,11071905,6.358170436837973,1.588410034226269,4.704227501952013,13.387244110205064,12.211638602896137,8420.21244356775,12816.112600315844,1891.9151035887683,6714.847161802779,set()
267,0.5285496162205288,0.0017037245825511076,9450740,5.427197548591871,1.7877933368180692,4.754133538749347,14.43977138298165,11.100250491000432,8624.714015516245,13857.946208974112,11549.24263391015,8963.673773693912,set()
121,0.5003881465999851,0.03053304920376885,6028650,3.462022497848676,8.135179517802493,5.56793311935508,6.034701798910204,17.480854094429567,11631.041091289095,28841.704515936402,12042.331745913265,16950.819325222066,set()
59,0.5024216428245264,0.007344171794701235,6011415,3.4521250983064125,5.470816771092996,5.36715398953491,11.615014934087897,14.020072461789942,11065.140417855031,28209.090375560496,7846.856565384356,13159.792681922641,set()
222,0.5221372554911211,0.0011808636537001048,10649920,6.115840634352383,7.075200564886872,5.581660707310477,7.311679336558397,12.398203529222853,12971.00160001202,17484.767848021394,4097.62815119738,21270.455364922927,"{142, 54}"
107,0.4533137155028138,0.029603518663589286,7297443,4.190641659868847,7.436001350061932,6.55345481972247,5.4289705311846905,13.485508644153876,11745.21689487674,29134.086725583194,10683.856724060743,16764.42543833506,"{3, 5, 266, 11, 14, 19, 20, 23, 24, 154, 27, 31, 32, 33, 35, 36, 421, 420, 48, 54, 57, 59, 62, 72, 203, 77, 78, 86, 102, 106, 113, 122, 254}"
12,0.5057430539533961,0.015960226965478067,7888660,4.530154909951462,1.8853037144457994,5.057471737912396,12.372532217131933,10.080916644763969,8160.850169737319,22976.861730002307,9092.602897069972,7691.6903035496525,set()
201,0.49660811579389874,0.009732602049044413,7885735,4.528475194624446,1.3274177993554184,4.76408476825559,13.489338026195401,8.984202156545791,8235.755512327003,20966.471401841427,4054.64316389024,6844.758933060773,"{202, 133, 14}"
14,0.5445800073134708,0.018260508782063277,7134779,4.097229962790724,3.648469980639905,4.592647508773571,8.775176077633247,14.740338916476212,10555.879063948581,26903.80705681283,11491.105174666238,16480.163038967297,set()
497,0.506973855589004,0.003302073019639108,7535645,4.327431933484414,1.6532393710160178,4.9488238896604075,13.56071179043068,8.87470331699769,8500.359155719254,15982.105233195036,5297.552888306177,6912.857797175955,"{202, 236, 429, 15, 51}"
113,0.5007576640634106,0.017506509441501644,4907188,2.8180098790231725,4.097608650819982,4.457808423072441,11.021402888986524,14.107146405846532,10540.102602957131,32199.005971648123,7158.809472145758,11735.905350273924,set()
19,0.5420875420875421,0.028058001863463716,4874364,2.7991603146149875,7.0443758406224894,5.724140421191359,7.947734719852682,17.753742693791683,11623.04910589361,35505.644767604535,16404.38997662054,13739.620656971863,set()
24,0.5098044105524889,0.010639927988181792,7418345,4.26007104190876,6.048804686220444,5.4586164434250515,5.811858979327598,12.529362943170096,11712.062505181411,27166.872166905152,6889.002435179275,14915.605877726097,"{133, 14, 17, 85, 27, 30}"
64,0.47161699680390695,0.006763693754525265,4666948,2.680049260164358,6.554969971810271,5.926216448094129,8.339332685943788,11.560708002128072,11080.611679410184,28743.80938463424,7700.852234908124,13570.132180602826,"{32, 33, 35, 106, 266, 77, 80, 19, 20, 57, 62}"
141,0.4902733913313053,0.009120252749613932,4541768,2.6081631867846307,7.085427525139989,6.236499970936428,6.989730871325881,14.049130833969366,11728.051481273373,32190.81284997384,13227.013698630137,17020.816560423165,"{19, 131}"
122,0.5121568244989516,0.03426581491603646,5126750,2.9440959154778765,6.301067928024577,5.608377627151705,5.106997610572,15.027890134718941,11690.40886526552,30120.07029794704,4843.217867069781,17323.832076851806,set()
